artId,namees,precio,bianhao,usercode,imageUrl
1000060403,TERMO 350ML 350ML,4.25,8434581011513,101151,https://img-eu-2.freex.es/img/729/1000060403/1024x1024/d52813050f12350a89c36dc08ddb3208
1000060404,TERMO 500ML 500ML,4.4,8434581011520,101152,https://img-eu-2.freex.es/img/729/1000060404/1024x1024/b4fbb49b1b2bb9972331bf277fd2aff7
1000060411,CUCHILLO DE CARNE 2PCS,1.88,8434581040599,104059,https://img-eu-2.freex.es/img/729/1000060411/1024x1024/67cfe7d8d3c0e4a1053bacdc7bdc4292
1000040917,ARTICULO,0,36,36,https://img-eu-2.freex.es/img/729/1000040917/1024x1024/d744e8621febfa10a6dbc2bf9cf911e9
1000052888,*Campana de cristal 10x15 cm,3.712,8435509176536,CM107653,https://img-eu-2.freex.es/img/729/1000052888/1024x1024/658185107c86b322341e818d4ea6f3c9
1000029381,FLY TRAP 4PC,0.49,8419859977975,97797,https://img-eu-2.freex.es/img/729/1000029381/1024x1024/6346caad35270be63d10f3d2496e943c
1000003648,BOMBA DE AGUA YC-005,1.72,8234567851542,Jan-41,https://img-eu-2.freex.es/img/729/1000003648/1024x1024/8b74084b901109801c5a0a9a4a13a3e4
1000044694,**BOMBA DE AGUA,2.85,8423050734008,73400,https://img-eu-2.freex.es/img/729/1000044694/1024x1024/87f6324238c53f2992a04c81cc66671b
1000056055,3G,0.35,,XY-20,https://img-eu-2.freex.es/img/729/1000056055/1024x1024/2f02b0faa0a9bb430aa2ff7202750306
1000056056,GREEN KILLER,0.35,,XY-5,https://img-eu-2.freex.es/img/729/1000056056/1024x1024/5a7678bbcfa275b2861809436486722b
1000060297,COLCHON INFLABLE CON FUNDA TERCIOPELO 2024,29.19,6926799216054,JL21470,https://img-eu-2.freex.es/img/729/1000060297/1024x1024/3ce5d23544c9efaa01d11c80daa788de
1000060298,FLOTADOR INFLABLE PARA BEBE 50CM 2024,7.74,6920388605830,JL32213,https://img-eu-2.freex.es/img/729/1000060298/1024x1024/0f5af80ff86521411520b4f6d4f2cbaf
1000060299,COLCHONETA HINCHABLE CON MALLA 2025 () 117*76*15CM,7.48,6942377600213,JL33209,https://img-eu-2.freex.es/img/729/1000060299/1024x1024/c5c393d6e3829e4b39a5bf7aac4d0030
1000060431,COLCHONETA INFLABLE () 2024,6.39,6920388697347,JL33153,https://img-eu-2.freex.es/img/729/1000060431/1024x1024/0604059dba47dc1d7c0d8214a6ca04f5
1000060300,FLOTADOR INFLABLE 2024,2.69,6920388600088,JL35187,https://img-eu-2.freex.es/img/729/1000060300/1024x1024/e137dcd0f6a8a1876ba766d3150870d0
1000060301,FLOTADOR INFLABLE 90CM 2024,2.89,6920388614498,JL35277,https://img-eu-2.freex.es/img/729/1000060301/1024x1024/30fa76c30bd4efa04d9e34fd76208a53
1000060302,FLOTADOR INFLABLE PARA BEBE 73*70CM () 2024,8.68,6920388645270,JL37492,https://img-eu-2.freex.es/img/729/1000060302/1024x1024/a06e283e1b3da63dc2b44b3f1c3b7e9e
1000060303,FLOTADOR 2025 100CM 2,6.09,6920388661966,JL37598,https://img-eu-2.freex.es/img/729/1000060303/1024x1024/5e8a9efe9bc07446dbc76cfcc7ad1a85
1000060304,FLOTADOR INFLABLE 90CM 2024,2.79,6920388662154,JL37605,https://img-eu-2.freex.es/img/729/1000060304/1024x1024/94ec93dc84e3277edd2fe7a3f73cf666
1000060305,FLOTADOR SOFA INFLABLE PARA AGUA 107*95*23CM () 2024,6.83,6920388662178,JL37606,https://img-eu-2.freex.es/img/729/1000060305/1024x1024/ec84f6e130e2b221265e51d9a2fed95e
1000060306,PELOTA HINCHABLE 2025 // 40CM 3,1.16,6926799211738,JL66018,https://img-eu-2.freex.es/img/729/1000060306/1024x1024/3c55bcb0465511c8aaef1caefb8ab5ec
